2022-04-13 09:57:38 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58015/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": ["--disable-gpu", "--disable-extensions", "--proxy-server='direct://'", "--proxy-bypass-list=*", "--start-maximized", "--user-agent=hogehoge"]}}}, "desiredCapabilities": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": ["--disable-gpu", "--disable-extensions", "--proxy-server='direct://'", "--proxy-bypass-list=*", "--start-maximized", "--user-agent=hogehoge"]}}}
2022-04-13 09:57:38 urllib3.connectionpool DEBUG         Starting new HTTP connection (1): localhost:58015
2022-04-13 09:57:49 urllib3.connectionpool DEBUG         http://localhost:58015 "POST /session HTTP/1.1" 200 798
2022-04-13 09:57:49 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:57:49 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58015/session/4f927017f58a680146adfc23d658b699/url {"url": "https://jp.mercari.com"}
2022-04-13 09:57:54 urllib3.connectionpool DEBUG         http://localhost:58015 "POST /session/4f927017f58a680146adfc23d658b699/url HTTP/1.1" 200 14
2022-04-13 09:57:54 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:57:54 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58015/session/4f927017f58a680146adfc23d658b699/element {"using": "css selector", "value": "body"}
2022-04-13 09:57:54 urllib3.connectionpool DEBUG         http://localhost:58015 "POST /session/4f927017f58a680146adfc23d658b699/element HTTP/1.1" 200 88
2022-04-13 09:57:54 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:57:57 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58015/session/4f927017f58a680146adfc23d658b699/url {"url": "https://jp.mercari.com/search?category_id=674&t1_category_id=5&t2_category_id=72&t3_category_id=674"}
2022-04-13 09:58:00 urllib3.connectionpool DEBUG         http://localhost:58015 "POST /session/4f927017f58a680146adfc23d658b699/url HTTP/1.1" 200 14
2022-04-13 09:58:00 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:00 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58015/session/4f927017f58a680146adfc23d658b699/element {"using": "css selector", "value": "body"}
2022-04-13 09:58:00 urllib3.connectionpool DEBUG         http://localhost:58015 "POST /session/4f927017f58a680146adfc23d658b699/element HTTP/1.1" 200 88
2022-04-13 09:58:00 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:04 selenium.webdriver.remote.remote_connection DEBUG         GET http://localhost:58015/session/4f927017f58a680146adfc23d658b699/source {}
2022-04-13 09:58:04 urllib3.connectionpool DEBUG         http://localhost:58015 "GET /session/4f927017f58a680146adfc23d658b699/source HTTP/1.1" 200 136430
2022-04-13 09:58:04 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:04 selenium.webdriver.remote.remote_connection DEBUG         DELETE http://localhost:58015/session/4f927017f58a680146adfc23d658b699/window {}
2022-04-13 09:58:04 urllib3.connectionpool DEBUG         http://localhost:58015 "DELETE /session/4f927017f58a680146adfc23d658b699/window HTTP/1.1" 200 12
2022-04-13 09:58:04 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:04 selenium.webdriver.remote.remote_connection DEBUG         DELETE http://localhost:58015/session/4f927017f58a680146adfc23d658b699 {}
2022-04-13 09:58:04 urllib3.connectionpool DEBUG         http://localhost:58015 "DELETE /session/4f927017f58a680146adfc23d658b699 HTTP/1.1" 200 14
2022-04-13 09:58:04 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:52 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58085/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": ["--disable-gpu", "--disable-extensions", "--proxy-server='direct://'", "--proxy-bypass-list=*", "--start-maximized", "--user-agent=hogehoge"]}}}, "desiredCapabilities": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": ["--disable-gpu", "--disable-extensions", "--proxy-server='direct://'", "--proxy-bypass-list=*", "--start-maximized", "--user-agent=hogehoge"]}}}
2022-04-13 09:58:52 urllib3.connectionpool DEBUG         Starting new HTTP connection (1): localhost:58085
2022-04-13 09:58:54 urllib3.connectionpool DEBUG         http://localhost:58085 "POST /session HTTP/1.1" 200 798
2022-04-13 09:58:54 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:54 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58085/session/d9bad78efb6eda6530770f7e826cde74/url {"url": "https://jp.mercari.com"}
2022-04-13 09:58:55 urllib3.connectionpool DEBUG         http://localhost:58085 "POST /session/d9bad78efb6eda6530770f7e826cde74/url HTTP/1.1" 200 14
2022-04-13 09:58:55 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
2022-04-13 09:58:55 selenium.webdriver.remote.remote_connection DEBUG         POST http://localhost:58085/session/d9bad78efb6eda6530770f7e826cde74/element {"using": "css selector", "value": "body"}
2022-04-13 09:58:55 urllib3.connectionpool DEBUG         http://localhost:58085 "POST /session/d9bad78efb6eda6530770f7e826cde74/element HTTP/1.1" 200 88
2022-04-13 09:58:55 selenium.webdriver.remote.remote_connection DEBUG         Finished Request
